                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.75789,                0.49826,                0.93828,                0.92502,                 0.9307,                0.97727,                0.80511,                0.64223,                0.41206,                0.85532,              0.0006536,              0.0006536,              0.0006536
                     36,                0.75109,                0.49585,                0.93601,                0.93411,                0.93467,                0.97992,                0.80444,                0.63514,                0.39863,                0.85482,               0.000614,               0.000614,               0.000614
                     37,                0.75315,                 0.4881,                0.93691,                0.93782,                0.93666,                0.98188,                0.80495,                0.63543,                0.40031,                0.85484,              0.0005744,              0.0005744,              0.0005744
                     38,                0.73741,                0.48367,                0.93415,                0.93201,                0.94362,                0.98021,                 0.8105,                 0.6331,                0.39904,                0.85541,              0.0005348,              0.0005348,              0.0005348
                     39,                0.72647,                0.47598,                0.93686,                0.93897,                 0.9439,                0.98133,                0.81576,                0.62313,                0.38435,                0.85188,              0.0004952,              0.0004952,              0.0004952
                     40,                0.70821,                 0.4803,                0.90372,                0.93516,                 0.9421,                0.98195,                0.80891,                0.62741,                0.39528,                0.85189,              0.0004556,              0.0004556,              0.0004556
                     41,                0.69373,                0.45108,                 0.8986,                0.94488,                0.94213,                0.98184,                0.81121,                0.63198,                0.39107,                0.84881,               0.000416,               0.000416,               0.000416
                     42,                0.69076,                0.44475,                0.89298,                0.93633,                0.94241,                0.98213,                0.80933,                0.62978,                 0.3988,                0.85048,              0.0003764,              0.0003764,              0.0003764
                     43,                0.68141,                 0.4192,                0.89562,                0.94222,                0.94369,                0.98376,                0.81353,                0.62616,                0.38717,                0.85301,              0.0003368,              0.0003368,              0.0003368
                     44,                0.67442,                0.41755,                0.89297,                 0.9458,                0.95355,                0.98448,                0.82262,                0.61642,                0.36621,                0.84742,              0.0002972,              0.0002972,              0.0002972
                     45,                 0.6765,                0.41046,                0.89359,                0.94341,                0.95233,                 0.9855,                0.82341,                0.61278,                0.36546,                0.84609,              0.0002576,              0.0002576,              0.0002576
                     46,                0.66543,                0.40645,                0.88713,                0.94893,                0.95065,                0.98486,                0.82788,                0.60663,                0.35594,                0.84289,               0.000218,               0.000218,               0.000218
                     47,                0.65868,                0.39409,                0.88474,                0.95441,                0.94858,                0.98605,                0.82693,                0.60368,                0.35076,                0.84298,              0.0001784,              0.0001784,              0.0001784
                     48,                0.66246,                 0.3926,                0.88563,                0.95687,                0.94789,                0.98615,                0.83093,                0.59504,                0.34612,                0.83996,              0.0001388,              0.0001388,              0.0001388
                     49,                0.64904,                 0.3834,                0.88303,                0.95146,                0.95437,                0.98699,                0.83138,                0.59096,                0.34674,                0.83972,               9.92e-05,               9.92e-05,               9.92e-05
