                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4892,                 4.7123,                 4.2368,                0.00073,                0.04894,                0.00042,                0.00014,                    5.2,                 4.6755,                 4.1598,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                 4.7956,                 4.7546,                 4.2267,                0.00086,                0.07023,                0.00048,                0.00015,                 5.2003,                  4.676,                 4.1605,             8.0599e-05,             8.0599e-05,             8.0599e-05
                      3,                 4.5486,                 4.7701,                 4.2159,                0.00094,                0.10529,                0.00057,                0.00026,                 5.2004,                 4.6766,                 4.1608,             0.00012456,             0.00012456,             0.00012456
                      4,                  4.574,                 4.5221,                 4.1998,                0.00106,                 0.1078,                0.00063,                0.00024,                 5.2004,                 4.6742,                 4.1603,             0.00016522,             0.00016522,             0.00016522
                      5,                 4.5281,                 4.4837,                 4.2092,                  0.001,                 0.1078,                0.00059,                0.00016,                 5.2001,                 4.6705,                 4.1589,             0.00020257,             0.00020257,             0.00020257
                      6,                  4.486,                 4.3741,                 4.1487,                0.00092,                 0.1078,                0.00053,                0.00017,                 5.1989,                 4.6665,                 4.1575,             0.00023663,             0.00023663,             0.00023663
                      7,                 4.2922,                 4.3076,                 4.1458,                0.00104,                0.11534,                0.00063,                0.00019,                 5.1963,                 4.6578,                 4.1544,             0.00026739,             0.00026739,             0.00026739
                      8,                 4.2958,                 4.2519,                 4.1395,                0.00104,                0.09655,                0.00062,                0.00018,                 5.1946,                 4.6512,                 4.1522,             0.00029484,             0.00029484,             0.00029484
                      9,                 4.4189,                   4.42,                 4.1177,                0.00103,                0.09404,                 0.0006,                0.00018,                 5.1902,                 4.6333,                 4.1464,               0.000319,               0.000319,               0.000319
                     10,                 4.3142,                 4.1643,                 4.0931,                0.00108,                0.09655,                0.00068,                0.00017,                 5.1872,                 4.6212,                 4.1424,             0.00033985,             0.00033985,             0.00033985
                     11,                 4.7436,                 4.3441,                 4.0861,                0.00091,                0.07274,                0.00055,                0.00016,                 5.1799,                 4.5935,                 4.1328,              0.0003574,              0.0003574,              0.0003574
                     12,                 4.3128,                 4.2895,                 4.0708,                0.00091,                0.07274,                0.00066,                 0.0002,                 5.1751,                 4.5759,                 4.1265,             0.00037166,             0.00037166,             0.00037166
                     13,                 3.8864,                  4.061,                  4.078,                0.00092,                0.07274,                0.00063,                0.00019,                 5.1641,                 4.5359,                 4.1119,             0.00038261,             0.00038261,             0.00038261
                     14,                 4.2686,                 4.1007,                 4.0636,                0.00086,                0.07023,                0.00063,                0.00019,                  5.158,                 4.5152,                  4.103,             0.00039026,             0.00039026,             0.00039026
