                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     15,                  4.089,                 3.9728,                 4.0835,                0.00097,                0.07526,                0.00065,                0.00017,                  5.145,                 4.4769,                 4.0855,             0.00039461,             0.00039461,             0.00039461
                     16,                 4.3881,                 4.1543,                  4.016,                0.00097,                0.07526,                0.00071,                 0.0002,                 5.1375,                 4.4521,                 4.0762,             0.00039566,             0.00039566,             0.00039566
                     17,                 4.1498,                  3.996,                 4.0271,                0.00116,                0.10158,                0.00082,                0.00021,                 5.1209,                 4.4041,                  4.056,             0.00039341,             0.00039341,             0.00039341
                     18,                 4.1766,                 3.9743,                 3.9598,                0.00116,                0.10158,                0.00083,                0.00021,                 5.1156,                 4.3938,                 4.0501,             0.00038786,             0.00038786,             0.00038786
                     19,                 3.8592,                 4.0915,                 3.9922,                  0.001,                0.07777,                0.00073,                 0.0002,                 5.1131,                 4.3907,                 4.0475,             0.00037901,             0.00037901,             0.00037901
                     20,                 4.1183,                 3.9677,                  3.946,                0.00097,                0.07526,                0.00066,                0.00017,                  5.109,                 4.3789,                 4.0429,             0.00036686,             0.00036686,             0.00036686
                     21,                 3.5799,                 4.3844,                 3.9722,                0.00103,                0.07777,                0.00072,                0.00019,                 5.1046,                 4.3591,                 4.0366,              0.0003514,              0.0003514,              0.0003514
                     22,                 3.7582,                 4.1437,                 3.8135,                0.00103,                0.07777,                0.00073,                0.00019,                 5.1004,                 4.3387,                 4.0295,             0.00033265,             0.00033265,             0.00033265
                     23,                 3.8011,                 4.3694,                 3.8606,                0.00109,                0.08028,                0.00079,                 0.0002,                    5.1,                 4.3309,                 4.0295,              0.0003106,              0.0003106,              0.0003106
                     24,                 3.4879,                 4.5493,                 3.7965,                0.00104,                0.07777,                0.00076,                0.00019,                 5.1023,                 4.3363,                 4.0339,             0.00028524,             0.00028524,             0.00028524
                     25,                  3.671,                  4.093,                 3.7376,                0.00089,                0.05647,                0.00067,                0.00018,                 5.1043,                 4.3436,                 4.0368,             0.00025658,             0.00025658,             0.00025658
                     26,                 3.5689,                 3.9431,                 3.7517,                0.00103,                0.07777,                0.00085,                0.00023,                 5.1039,                 4.3454,                 4.0365,             0.00022463,             0.00022463,             0.00022463
                     27,                 3.5503,                 3.9414,                 3.7654,                0.00084,                0.05396,                0.00078,                0.00021,                 5.0973,                 4.3342,                 4.0292,             0.00018937,             0.00018937,             0.00018937
                     28,                 3.7149,                   4.26,                 3.6169,                0.00084,                0.05396,                0.00082,                0.00022,                 5.0828,                 4.3079,                 4.0137,             0.00015081,             0.00015081,             0.00015081
                     29,                 3.7248,                 4.2458,                 3.5331,                0.00084,                0.05396,                0.00082,                0.00022,                 5.0828,                 4.3079,                 4.0137,             0.00010896,             0.00010896,             0.00010896
                     30,                 3.6179,                 3.8779,                 3.6162,                0.00094,                0.05899,                0.00087,                0.00023,                   5.07,                 4.2789,                 4.0006,             6.3796e-05,             6.3796e-05,             6.3796e-05
