                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 107.97,                      0,                      0,                      0,                      0,                      0,                      0,                 110.24,                      0,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                      0,                 104.91,                      0,                      0,                      0,                      0,                      0,                      0,                 110.46,                      0,             6.6847e-05,             6.6847e-05,             6.6847e-05
                      3,                      0,                 103.46,                      0,                      0,                      0,                      0,                      0,                      0,                 110.71,                      0,             8.0549e-05,             8.0549e-05,             8.0549e-05
                      4,                      0,                 101.66,                      0,                      0,                      0,                      0,                      0,                      0,                 110.92,                      0,             7.4448e-05,             7.4448e-05,             7.4448e-05
