                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.531,                0.91642,                 1.4694,                0.89657,                  0.806,                0.89869,                0.56972,                 1.3303,                0.82361,                 1.3923,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.5138,                0.91141,                 1.4676,                0.90496,                0.82303,                0.90603,                0.56073,                 1.3572,                 0.8212,                  1.398,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.4895,                0.88501,                 1.4534,                 0.8981,                0.82375,                0.90359,                0.57716,                 1.3133,                 0.8022,                 1.3711,               0.000614,               0.000614,               0.000614
                     38,                  1.467,                 0.8634,                 1.4224,                0.90606,                0.83009,                0.91193,                0.57619,                 1.3277,                0.79166,                 1.3722,              0.0005744,              0.0005744,              0.0005744
                     39,                  1.486,                0.87044,                 1.4221,                0.90961,                0.83284,                0.91339,                0.57616,                 1.3303,                0.78962,                 1.3753,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.4775,                0.86844,                 1.4315,                0.91002,                0.82883,                0.91437,                 0.5817,                  1.306,                0.77543,                 1.3564,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.4362,                 1.0077,                 1.4293,                0.88162,                0.82467,                0.89249,                0.56942,                 1.3784,                0.95182,                 1.3775,              0.0004556,              0.0004556,              0.0004556
                     42,                 1.3896,                0.87445,                 1.3904,                0.89735,                0.82212,                0.90619,                0.57257,                 1.3199,                 0.8258,                 1.3436,               0.000416,               0.000416,               0.000416
                     43,                 1.3593,                0.86481,                 1.3762,                0.91215,                0.83559,                0.91624,                0.58072,                 1.2854,                0.77643,                 1.3294,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.3596,                0.83911,                 1.3738,                0.92091,                 0.8317,                0.91844,                0.58006,                 1.2922,                0.80026,                 1.3327,              0.0003368,              0.0003368,              0.0003368
                     45,                 1.3522,                0.82839,                 1.3475,                0.90312,                0.84087,                0.91801,                0.58781,                 1.2852,                0.76487,                 1.3274,              0.0002972,              0.0002972,              0.0002972
                     46,                 1.3459,                0.80723,                 1.3551,                0.91712,                0.84531,                0.92324,                0.59765,                 1.2718,                0.75441,                 1.3096,              0.0002576,              0.0002576,              0.0002576
                     47,                 1.3156,                0.78666,                 1.3425,                0.90906,                 0.8513,                0.92482,                0.59961,                 1.2592,                0.73809,                  1.302,               0.000218,               0.000218,               0.000218
                     48,                 1.3097,                0.77541,                 1.3316,                0.91309,                0.85474,                0.92856,                0.60755,                 1.2401,                0.73182,                  1.293,              0.0001784,              0.0001784,              0.0001784
                     49,                 1.3136,                 0.7725,                   1.33,                0.92272,                0.85287,                0.93005,                0.60991,                 1.2382,                0.72218,                 1.2874,              0.0001388,              0.0001388,              0.0001388
                     50,                 1.3078,                0.77408,                 1.3282,                0.92263,                0.85425,                0.93092,                0.61447,                 1.2306,                0.71254,                 1.2785,               9.92e-05,               9.92e-05,               9.92e-05
